ID Proyecto,ID Coleccion,camera_trap,Lat,Lon,Inicio,Fin,No.imagen,Fotode,Fecha,photo_time,T_ambiente,Fase_lunar,Nombre_comun,Clase,Orden,Familia,Genero,Especie,Binomial,N0.Animales,Edad,Sexo,Habitat,Lugar_paso,Notas_Dudas,ID_Carpeta,ID_Foto,Distancia_m,Tecnico
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00198,Animal,4-7-2013,3:47:29 AM,70,nueva,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,A,,Pantano,trillo,,C1.1n37,PICT0198,5,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00202,Animal,6-7-2013,6:22:18 PM,72,nueva,Guatusa de oriente,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,fuliginosa,Dasyprocta fuliginosa,1,J,,Pantano,Transecto,,C1.1n37,PICT0202,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00203,Animal,6-7-2013,6:22:19 PM,72,nueva,Guatusa de oriente,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,fuliginosa,Dasyprocta fuliginosa,1,J,,Pantano,Transecto,,C1.1n37,PICT0203,3,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00204,Animal,6-7-2013,6:22:20 PM,72,nueva,Guatusa de oriente,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,fuliginosa,Dasyprocta fuliginosa,1,J,,Pantano,Transecto,,C1.1n37,PICT0204,3,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00205,Animal,7-7-2013,12:28:03 AM,70,nueva,SIN IDENTIFICAR,,,,,,,1,,,Pantano,trillo,,C1.1n37,PICT0205,5,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00206,Animal,7-7-2013,12:28:04 AM,70,nueva,SIN IDENTIFICAR,,,,,,,1,,,Pantano,trillo,,C1.1n37,PICT0206,5,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00207,Animal,7-7-2013,12:28:05 AM,70,nueva,SIN IDENTIFICAR,,,,,,,1,,,Pantano,trillo,,C1.1n37,PICT0207,5,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00208,Animal,7-7-2013,7:56:19 PM,72,nueva,Guatusa de oriente,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,fuliginosa,Dasyprocta fuliginosa,1,J,,Pantano,Transecto,,C1.1n37,PICT0208,4,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00209,Animal,7-7-2013,7:56:20 PM,72,nueva,Guatusa de oriente,Mammalia,Rodentia,Dasyproctidae,Dasyprocta,fuliginosa,Dasyprocta fuliginosa,1,J,,Pantano,Transecto,,C1.1n37,PICT0209,2.5,Erick Santana
EC01-Cuya1/2013,Transecto1_Pakuya,1.1,9964174.8,1081399.7,17-4-2013,13-8-2013,00217,Animal,9-7-2013,10:21:48 PM,70,nueva,Guanta,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,Cuniculus paca,1,A,,Pantano,Transecto,,C1.1n37,PICT0217,4,Erick Santana
